Task_ID,Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Cost_Per_Day,Labour_Intensity,Combined_Constraint_Score,Complexity_Score,Risk_Score,Composite_Risk_Index,Cost_Risk_Flag,Underestimated_Risk_Flag,Schedule_Critical_Flag,Priority_Score,Priority_Tier,Triple_Threat
T1,52,14,6,16789.73,0,Medium,0.41,0.59,4,322.88,2.33,0.5,0.684,2,0.639,False,False,False,0.577,P2 - Monitor Closely,False
T2,15,2,2,16885.8,5,Low,0.75,0.17,3,1125.72,1.0,0.46,0.43,1,0.388,False,False,False,0.378,P3 - Standard Review,False
T3,72,11,1,7978.7,22,Low,0.96,0.41,1,110.82,11.0,0.685,0.604,1,0.485,False,False,False,0.383,P3 - Standard Review,False
T4,61,1,5,19379.02,18,Low,0.41,0.67,4,317.69,0.2,0.54,0.736,1,0.495,False,True,False,0.533,P2 - Monitor Closely,False
T5,21,19,5,66757.72,22,Low,0.85,0.63,3,3178.94,3.8,0.74,0.541,1,0.477,False,False,False,0.445,P3 - Standard Review,False
T6,83,4,2,88287.37,10,High,0.24,0.6,2,1063.7,2.0,0.42,0.649,3,0.779,True,False,False,0.551,P2 - Monitor Closely,False
T7,87,19,6,81598.44,10,Low,0.63,0.33,0,937.91,3.17,0.48,0.535,1,0.423,False,False,False,0.305,P3 - Standard Review,False
T8,75,11,9,68828.3,22,Low,0.26,0.4,1,917.71,1.22,0.33,0.511,1,0.386,False,False,False,0.322,P3 - Standard Review,False
T9,75,8,2,11932.75,29,Low,0.95,0.18,0,159.1,4.0,0.565,0.507,1,0.432,False,False,False,0.3,P3 - Standard Review,False
T10,88,11,2,29629.56,12,Medium,0.81,0.68,2,336.7,5.5,0.745,0.769,2,0.713,False,False,False,0.553,P2 - Monitor Closely,False
T11,24,4,3,31670.88,10,Low,0.73,0.5,4,1319.62,1.33,0.615,0.592,1,0.467,False,False,False,0.488,P3 - Standard Review,False
T12,3,17,7,25745.74,17,Medium,0.86,0.67,4,8581.91,2.43,0.765,0.543,2,0.649,False,False,False,0.563,P2 - Monitor Closely,False
T13,22,7,6,51985.56,22,Low,0.72,0.3,2,2362.98,1.17,0.51,0.402,1,0.389,False,False,False,0.336,P3 - Standard Review,False
T14,53,8,8,54019.83,14,Low,0.98,0.36,2,1019.24,1.0,0.67,0.589,1,0.477,False,False,False,0.415,P3 - Standard Review,False
T15,2,3,8,36331.71,0,Low,0.77,0.37,1,18165.86,0.38,0.57,0.255,1,0.357,False,False,False,0.282,P4 - Low Priority,False
T16,88,2,6,36025.13,20,High,0.94,0.12,3,409.38,0.33,0.53,0.78,3,0.84,False,False,True,0.644,P2 - Monitor Closely,False
T17,30,15,3,83027.0,24,High,0.61,0.37,0,2767.57,5.0,0.49,0.282,3,0.683,True,False,False,0.349,P3 - Standard Review,False
T18,38,5,3,79139.99,6,Low,0.29,0.74,0,2082.63,1.67,0.515,0.325,1,0.367,False,False,False,0.232,P4 - Low Priority,False
T19,2,1,1,31471.79,22,Medium,0.62,0.82,4,15735.9,1.0,0.72,0.525,2,0.635,False,False,False,0.568,P2 - Monitor Closely,False
T20,64,4,7,91465.06,26,High,0.3,0.51,4,1429.14,0.57,0.405,0.709,3,0.794,True,False,False,0.648,P2 - Monitor Closely,False
T21,60,15,5,95328.69,12,Low,0.67,0.46,1,1588.81,3.0,0.565,0.514,1,0.434,False,False,False,0.343,P3 - Standard Review,False
T22,21,19,4,33347.51,11,High,0.59,0.12,2,1587.98,4.75,0.355,0.351,3,0.676,False,False,False,0.436,P3 - Standard Review,False
T23,33,3,4,36088.07,17,Low,0.7,0.8,0,1093.58,0.75,0.75,0.373,1,0.429,False,False,False,0.267,P4 - Low Priority,False
T24,76,11,4,51057.78,23,High,0.21,0.11,1,671.81,2.75,0.16,0.465,3,0.672,False,False,False,0.424,P3 - Standard Review,False
T25,58,17,6,94170.96,18,Medium,0.36,0.86,4,1623.64,2.83,0.61,0.744,2,0.679,False,False,False,0.611,P2 - Monitor Closely,False
T26,22,13,8,87755.62,14,High,0.59,0.49,4,3988.89,1.62,0.54,0.561,3,0.776,True,False,False,0.609,P2 - Monitor Closely,False
T27,89,11,8,11154.23,7,Medium,0.96,0.37,0,125.33,1.38,0.665,0.6,2,0.646,False,False,False,0.409,P3 - Standard Review,False
T28,49,2,5,39880.34,18,Low,0.51,0.84,4,813.88,0.4,0.675,0.723,1,0.519,False,True,False,0.54,P2 - Monitor Closely,False
T29,59,9,6,55783.75,9,High,0.54,0.12,4,945.49,1.5,0.33,0.664,3,0.765,False,False,False,0.624,P2 - Monitor Closely,False
T30,42,2,4,50810.11,6,Low,0.77,0.57,3,1209.76,0.5,0.67,0.615,1,0.485,False,False,False,0.463,P3 - Standard Review,False
T31,60,9,9,20192.44,17,Low,0.68,0.54,2,336.54,1.0,0.61,0.603,1,0.47,False,False,False,0.414,P3 - Standard Review,False
T32,80,9,8,86022.86,15,Medium,0.44,0.28,4,1075.29,1.12,0.36,0.768,2,0.636,False,False,True,0.599,P2 - Monitor Closely,False
T33,15,8,1,68017.14,19,Medium,0.53,0.44,3,4534.48,8.0,0.485,0.438,2,0.562,False,False,False,0.456,P3 - Standard Review,False
T34,62,17,2,83952.93,26,High,0.37,0.62,1,1354.08,8.5,0.495,0.502,3,0.75,True,False,False,0.466,P3 - Standard Review,False
T35,62,1,9,86017.66,5,Low,0.97,0.68,4,1387.38,0.11,0.825,0.826,1,0.579,False,True,False,0.591,P2 - Monitor Closely,False
T36,47,11,8,75087.23,26,Medium,0.3,0.1,1,1597.6,1.38,0.2,0.346,2,0.477,False,False,False,0.318,P3 - Standard Review,False
T37,62,8,3,44481.85,8,Medium,0.5,0.85,4,717.45,2.67,0.675,0.781,2,0.703,False,False,False,0.628,P2 - Monitor Closely,False
T38,51,10,8,61444.13,20,Low,0.22,0.23,0,1204.79,1.25,0.225,0.297,1,0.301,False,False,False,0.197,P4 - Low Priority,False
T39,55,7,1,16876.18,12,Low,0.38,0.29,3,306.84,7.0,0.335,0.573,1,0.406,False,False,False,0.419,P3 - Standard Review,False
T40,64,3,4,67690.9,24,Low,0.82,0.31,3,1057.67,0.75,0.565,0.682,1,0.484,False,False,False,0.479,P3 - Standard Review,False
T41,3,3,3,18746.07,20,Low,0.36,0.13,0,6248.69,1.0,0.245,0.087,1,0.242,False,False,False,0.132,P4 - Low Priority,False
T42,51,18,6,69701.01,25,High,0.26,0.2,2,1366.69,3.0,0.23,0.448,3,0.68,False,False,False,0.462,P3 - Standard Review,False
T43,7,5,7,23730.22,7,Medium,0.58,0.89,3,3390.03,0.71,0.735,0.477,2,0.623,False,False,False,0.488,P3 - Standard Review,False
T44,21,12,4,12637.58,15,Medium,0.21,0.35,1,601.79,3.0,0.28,0.253,2,0.465,False,False,False,0.288,P4 - Low Priority,False
T45,73,12,7,17363.16,12,High,0.27,0.19,3,237.85,1.71,0.23,0.622,3,0.733,False,False,True,0.562,P2 - Monitor Closely,False
T46,39,19,9,1197.22,12,Low,0.85,0.19,2,30.7,2.11,0.52,0.481,1,0.415,False,False,False,0.361,P3 - Standard Review,False
T47,18,6,2,72155.22,16,High,0.82,0.68,1,4008.62,3.0,0.75,0.381,3,0.764,False,False,False,0.447,P3 - Standard Review,False
T48,4,2,3,73507.7,22,Low,0.93,0.78,1,18376.92,0.67,0.855,0.349,1,0.442,False,False,False,0.34,P3 - Standard Review,False
T49,89,12,5,51978.4,19,High,0.88,0.31,0,584.03,2.4,0.595,0.578,3,0.792,False,False,False,0.463,P3 - Standard Review,False
T50,60,19,3,16974.92,4,Low,0.75,0.12,4,282.92,6.33,0.435,0.7,1,0.464,False,False,False,0.511,P2 - Monitor Closely,False
T51,14,5,8,9271.88,21,High,0.24,0.28,0,662.28,0.62,0.26,0.141,3,0.594,False,False,False,0.274,P4 - Low Priority,False
T52,9,12,8,2893.77,20,Low,0.83,0.15,4,321.53,1.5,0.49,0.487,1,0.411,False,False,False,0.437,P3 - Standard Review,False
T53,53,17,8,17409.07,27,Low,0.88,0.18,0,328.47,2.12,0.53,0.397,1,0.392,False,False,False,0.257,P4 - Low Priority,False
T54,2,17,9,89194.7,16,Medium,0.84,0.45,4,44597.35,1.89,0.645,0.502,2,0.613,False,False,False,0.614,P2 - Monitor Closely,False
T55,84,10,4,24912.15,27,Low,0.61,0.28,3,296.57,2.5,0.445,0.736,1,0.476,False,True,True,0.488,P3 - Standard Review,False
T56,60,17,5,36072.86,8,Medium,0.39,0.51,1,601.21,3.4,0.45,0.48,2,0.567,False,False,False,0.386,P3 - Standard Review,False
T57,71,15,5,11429.2,1,Low,0.88,0.3,4,160.97,3.0,0.59,0.796,1,0.523,False,True,True,0.559,P2 - Monitor Closely,False
T58,44,12,8,23013.77,24,Medium,0.78,0.85,3,523.04,1.5,0.815,0.667,2,0.696,False,False,False,0.559,P2 - Monitor Closely,False
T59,8,16,7,52403.23,25,Low,0.98,0.82,2,6550.4,2.29,0.9,0.456,1,0.483,False,False,False,0.396,P3 - Standard Review,False
T60,47,19,9,61167.52,17,Low,0.32,0.55,0,1301.44,2.11,0.435,0.342,1,0.356,False,False,False,0.231,P4 - Low Priority,False
T61,35,8,8,25289.88,8,Low,0.38,0.38,2,722.57,1.0,0.38,0.421,1,0.369,False,False,False,0.329,P3 - Standard Review,False
T62,78,17,2,6715.48,5,Low,0.37,0.4,3,86.1,8.5,0.385,0.691,1,0.451,False,False,True,0.466,P3 - Standard Review,False
T63,81,5,4,39712.25,10,Low,0.83,0.43,2,490.27,1.25,0.63,0.703,1,0.504,False,True,False,0.453,P3 - Standard Review,False
T64,36,16,6,24186.13,24,Low,0.35,0.68,2,671.84,2.67,0.515,0.466,1,0.409,False,False,False,0.357,P3 - Standard Review,False
T65,50,6,2,22735.84,28,Low,0.25,0.46,3,454.72,3.0,0.355,0.556,1,0.404,False,False,False,0.414,P3 - Standard Review,False
T66,4,8,7,96026.42,5,Low,1.0,0.79,1,24006.6,1.14,0.895,0.361,1,0.454,False,False,False,0.359,P3 - Standard Review,False
T67,2,18,3,62013.75,5,Medium,0.22,0.86,4,31006.88,6.0,0.54,0.471,2,0.583,False,False,False,0.566,P2 - Monitor Closely,False
T68,6,12,3,56130.97,12,High,0.87,0.37,0,9355.16,4.0,0.62,0.213,3,0.688,False,False,False,0.348,P3 - Standard Review,False
T69,54,15,2,42161.74,10,Low,0.49,0.55,4,780.77,7.5,0.52,0.699,1,0.48,False,False,False,0.518,P2 - Monitor Closely,False
T70,4,9,8,43465.49,13,Medium,0.87,0.18,0,10866.37,1.12,0.525,0.175,2,0.491,False,False,False,0.263,P4 - Low Priority,False
T71,54,13,6,54549.6,1,Medium,0.64,0.26,4,1010.18,2.17,0.45,0.678,2,0.627,False,False,False,0.572,P2 - Monitor Closely,False
T72,63,15,1,69946.55,7,Low,0.92,0.43,2,1110.26,15.0,0.675,0.636,1,0.492,False,False,False,0.433,P3 - Standard Review,False
T73,18,10,1,70512.46,2,Medium,0.94,0.26,1,3917.36,10.0,0.6,0.336,2,0.554,False,False,False,0.351,P3 - Standard Review,False
T74,44,16,7,17997.7,22,Low,0.21,0.8,2,409.04,2.29,0.505,0.499,1,0.417,False,False,False,0.367,P3 - Standard Review,False
T75,34,7,8,50511.16,20,Medium,0.26,0.23,1,1485.62,0.88,0.245,0.301,2,0.473,False,False,False,0.305,P3 - Standard Review,False
T76,74,17,5,41783.85,2,Low,0.4,0.46,3,564.65,3.4,0.43,0.687,1,0.459,False,False,True,0.469,P3 - Standard Review,False
T77,62,7,5,87182.17,0,Medium,0.74,0.58,0,1406.16,1.4,0.66,0.477,2,0.608,False,False,False,0.365,P3 - Standard Review,False
T78,14,14,4,63510.47,23,Medium,0.91,0.65,0,4536.46,3.5,0.78,0.297,2,0.578,False,False,False,0.315,P3 - Standard Review,False
T79,48,15,6,53717.9,18,Low,0.57,0.41,3,1119.12,2.5,0.49,0.588,1,0.441,False,False,False,0.438,P3 - Standard Review,False
T80,15,7,6,12424.07,17,Low,0.69,0.8,4,828.27,1.17,0.745,0.591,1,0.493,False,False,False,0.497,P3 - Standard Review,False
T81,72,9,3,60958.15,16,High,0.35,0.55,3,846.64,3.0,0.45,0.684,3,0.795,False,False,True,0.603,P2 - Monitor Closely,False
T82,78,19,9,12603.19,19,Low,0.84,0.45,3,161.58,2.11,0.645,0.769,1,0.526,False,True,True,0.515,P2 - Monitor Closely,False
T83,87,16,7,34383.45,28,Medium,0.97,0.15,1,395.21,2.29,0.56,0.634,2,0.636,False,False,False,0.451,P3 - Standard Review,False
T84,62,8,1,15141.35,23,High,0.41,0.47,3,244.22,8.0,0.44,0.636,3,0.779,False,False,False,0.584,P2 - Monitor Closely,False
